                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3815,                 2.2864,                 1.2598,                0.51754,                0.44002,                0.43994,                0.27723,                 1.3961,                 1.6311,                 1.2791,             0.00030131,             0.00030131,             0.00030131
                      2,                 1.4509,                 1.7582,                 1.3264,                0.49109,                0.33667,                0.33743,                0.20375,                 1.5242,                 1.8673,                 1.3869,             0.00059832,             0.00059832,             0.00059832
                      3,                 1.5207,                  1.788,                 1.3819,                0.44318,                0.37418,                0.34361,                0.18842,                 1.5322,                 1.8602,                 1.3965,             0.00088934,             0.00088934,             0.00088934
                      4,                 1.5528,                 1.7754,                 1.3905,                0.50535,                 0.3643,                0.37091,                 0.2112,                 1.5737,                 1.7518,                 1.4313,               0.000882,               0.000882,               0.000882
                      5,                 1.5178,                 1.7034,                 1.3805,                0.46628,                0.37912,                0.35949,                0.20487,                 1.5427,                 1.8064,                 1.4156,               0.000882,               0.000882,               0.000882
                      6,                 1.5021,                 1.6604,                 1.3724,                0.48432,                0.39757,                0.38609,                0.22579,                 1.5665,                 1.6975,                 1.4497,               0.000873,               0.000873,               0.000873
                      7,                 1.4985,                 1.6237,                 1.3683,                0.53553,                0.38147,                0.40944,                0.23965,                 1.5328,                 1.6664,                 1.4004,               0.000864,               0.000864,               0.000864
                      8,                 1.4774,                 1.5853,                  1.358,                0.58296,                0.40654,                0.43829,                0.26193,                 1.5335,                 1.5522,                 1.3807,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.4576,                 1.5402,                 1.3485,                0.53416,                0.43604,                0.44136,                0.27075,                 1.4788,                 1.5345,                 1.3566,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.4513,                 1.5327,                 1.3415,                0.53183,                0.41459,                0.44257,                0.27022,                 1.5145,                 1.5036,                 1.3656,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.4605,                 1.5073,                 1.3393,                0.58791,                0.41481,                0.45309,                 0.2763,                 1.5065,                 1.5404,                 1.3818,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.4355,                 1.4656,                 1.3318,                0.62979,                0.41982,                 0.4668,                0.28969,                  1.464,                 1.4605,                 1.3498,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.4311,                 1.4595,                 1.3236,                0.57696,                0.43435,                0.46681,                0.28794,                 1.4566,                 1.4757,                 1.3534,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.4261,                 1.4428,                 1.3238,                0.55136,                0.41548,                0.44949,                0.27907,                  1.475,                 1.5134,                 1.3509,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.4146,                 1.4242,                  1.312,                0.52848,                0.42809,                0.44388,                0.26761,                 1.4572,                 1.4926,                  1.353,             0.00079201,             0.00079201,             0.00079201
                     16,                  1.403,                 1.3947,                 1.3033,                0.58163,                0.44749,                0.48711,                0.30222,                 1.4529,                 1.4262,                  1.346,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.3866,                 1.3761,                  1.302,                0.58934,                0.44171,                0.48599,                0.30633,                 1.4492,                 1.4126,                 1.3426,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.3778,                 1.3703,                  1.294,                0.60695,                0.46037,                0.49519,                0.30924,                 1.4431,                 1.3799,                 1.3377,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.3688,                 1.3557,                 1.3029,                0.58332,                0.47085,                0.49686,                0.30894,                 1.4422,                 1.3833,                 1.3329,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.3595,                 1.3247,                  1.282,                0.60908,                0.45491,                0.48884,                0.30718,                 1.4336,                  1.361,                 1.3149,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.3665,                 1.3255,                 1.2879,                0.60194,                0.44955,                0.48646,                0.30432,                 1.4427,                 1.3787,                  1.337,             0.00073802,             0.00073802,             0.00073802
                     22,                 1.3712,                 1.3285,                  1.295,                0.59428,                 0.4463,                0.49095,                 0.3054,                 1.4414,                 1.3782,                 1.3341,             0.00072902,             0.00072902,             0.00072902
                     23,                 1.3526,                 1.3077,                 1.2797,                 0.6143,                0.46198,                0.50277,                0.31529,                 1.4128,                 1.3504,                 1.3149,             0.00072002,             0.00072002,             0.00072002
                     24,                 1.3402,                 1.2772,                 1.2647,                0.63637,                0.46954,                0.50578,                0.31807,                 1.4306,                 1.3449,                 1.3205,             0.00071102,             0.00071102,             0.00071102
                     25,                 1.3405,                 1.2799,                 1.2736,                   0.63,                0.47487,                 0.5287,                0.34013,                 1.4095,                 1.3211,                 1.3138,             0.00070202,             0.00070202,             0.00070202
                     26,                 1.3292,                 1.2529,                 1.2562,                0.62302,                0.45575,                0.50573,                0.32004,                 1.4279,                 1.3544,                 1.3113,             0.00069302,             0.00069302,             0.00069302
                     27,                   1.33,                 1.2483,                  1.256,                0.59359,                 0.4568,                0.48528,                0.30347,                 1.4257,                 1.3358,                 1.3189,             0.00068402,             0.00068402,             0.00068402
                     28,                 1.3237,                 1.2417,                 1.2552,                0.61912,                0.47084,                0.50887,                 0.3193,                 1.4185,                 1.3421,                 1.3175,             0.00067502,             0.00067502,             0.00067502
                     29,                 1.3194,                 1.2368,                 1.2492,                0.60458,                0.48212,                0.51695,                0.33054,                 1.4038,                 1.3175,                  1.313,             0.00066602,             0.00066602,             0.00066602
                     30,                 1.3056,                 1.2335,                 1.2413,                0.61812,                0.47548,                 0.5151,                0.32924,                 1.4047,                 1.3091,                 1.3061,             0.00065703,             0.00065703,             0.00065703
                     31,                 1.3119,                 1.2194,                 1.2498,                0.63662,                0.46011,                0.51446,                0.33248,                 1.4088,                 1.3135,                 1.3011,             0.00064803,             0.00064803,             0.00064803
                     32,                 1.3078,                 1.2003,                 1.2441,                0.65039,                0.48666,                0.53405,                0.34094,                 1.3866,                 1.2777,                 1.3042,             0.00063903,             0.00063903,             0.00063903
                     33,                 1.3021,                 1.1924,                 1.2424,                0.63875,                0.49075,                0.54304,                 0.3444,                 1.3818,                 1.2798,                  1.298,             0.00063003,             0.00063003,             0.00063003
