                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4187,                 2.2561,                  1.297,                0.54101,                0.41432,                0.42015,                0.25683,                 1.3897,                 1.6303,                 1.2775,             0.00030215,             0.00030215,             0.00030215
                      2,                 1.4985,                  1.856,                 1.3638,                0.49637,                 0.3767,                0.38372,                0.22494,                  1.512,                 1.7528,                 1.3782,             0.00060016,             0.00060016,             0.00060016
                      3,                 1.5392,                 1.8858,                 1.4041,                 0.4339,                0.34698,                0.33141,                 0.1909,                 1.5561,                 1.8013,                 1.4138,             0.00089317,             0.00089317,             0.00089317
                      4,                 1.5722,                 1.8621,                 1.4271,                0.51129,                0.38163,                0.39866,                0.23054,                 1.5474,                  1.702,                 1.4214,              0.0008865,              0.0008865,              0.0008865
                      5,                 1.5468,                 1.7776,                 1.4105,                0.51621,                 0.3951,                0.39777,                0.23521,                 1.5537,                   1.68,                   1.42,              0.0008865,              0.0008865,              0.0008865
                      6,                 1.5299,                 1.7252,                 1.3919,                0.49393,                0.41453,                0.41246,                0.24367,                 1.5175,                 1.6355,                 1.3974,               0.000879,               0.000879,               0.000879
                      7,                 1.5196,                 1.7058,                 1.3923,                0.56564,                0.40828,                0.43903,                0.26918,                 1.4954,                 1.5478,                 1.3794,              0.0008715,              0.0008715,              0.0008715
                      8,                 1.5006,                 1.6525,                 1.3716,                0.54894,                0.40971,                0.44475,                0.26916,                 1.5039,                 1.5543,                 1.3735,               0.000864,               0.000864,               0.000864
                      9,                 1.4994,                 1.6147,                 1.3668,                0.56277,                0.41631,                0.44647,                0.26913,                 1.4978,                 1.5565,                 1.3702,             0.00085651,             0.00085651,             0.00085651
                     10,                 1.4856,                 1.5764,                 1.3648,                0.59578,                0.42183,                0.46574,                0.28208,                 1.4819,                 1.5134,                 1.3617,             0.00084901,             0.00084901,             0.00084901
                     11,                 1.4755,                 1.5645,                 1.3536,                0.56125,                0.43524,                 0.4694,                0.28581,                 1.4538,                 1.5043,                 1.3366,             0.00084151,             0.00084151,             0.00084151
                     12,                 1.4583,                 1.5372,                 1.3453,                0.59089,                0.43616,                0.47122,                0.28912,                 1.4674,                 1.5018,                 1.3626,             0.00083401,             0.00083401,             0.00083401
                     13,                 1.4535,                 1.5236,                 1.3477,                0.57727,                0.44551,                 0.4816,                0.30121,                 1.4461,                 1.4242,                 1.3511,             0.00082651,             0.00082651,             0.00082651
                     14,                 1.4426,                 1.4991,                 1.3409,                0.60304,                0.43119,                0.48932,                0.30335,                 1.4739,                 1.4291,                 1.3478,             0.00081901,             0.00081901,             0.00081901
                     15,                  1.445,                  1.497,                 1.3391,                0.61182,                0.42709,                0.48129,                0.30185,                 1.4421,                 1.4459,                 1.3424,             0.00081151,             0.00081151,             0.00081151
                     16,                 1.4183,                 1.4597,                  1.317,                0.60198,                0.43227,                0.48308,                0.30151,                 1.4467,                 1.4239,                 1.3417,             0.00080401,             0.00080401,             0.00080401
                     17,                 1.4202,                 1.4429,                 1.3219,                0.60576,                0.42107,                 0.4784,                0.29523,                 1.4361,                 1.4429,                 1.3445,             0.00079651,             0.00079651,             0.00079651
                     18,                    1.4,                 1.4294,                 1.3111,                0.58555,                0.44333,                0.48729,                0.30953,                 1.4356,                 1.4197,                 1.3312,             0.00078901,             0.00078901,             0.00078901
                     19,                 1.3983,                 1.4114,                 1.3111,                0.58645,                 0.4575,                0.49313,                0.30339,                 1.4563,                 1.4054,                 1.3493,             0.00078151,             0.00078151,             0.00078151
                     20,                 1.4038,                 1.4117,                 1.3121,                0.62473,                0.46163,                 0.5073,                0.31488,                 1.4249,                 1.3986,                 1.3272,             0.00077401,             0.00077401,             0.00077401
                     21,                 1.3991,                 1.3983,                 1.3065,                 0.6459,                0.45459,                 0.5069,                0.32018,                 1.4224,                 1.3679,                 1.3246,             0.00076651,             0.00076651,             0.00076651
                     22,                 1.3841,                 1.3744,                 1.2967,                0.61809,                0.45813,                0.50823,                0.31825,                  1.409,                 1.3665,                 1.3108,             0.00075902,             0.00075902,             0.00075902
                     23,                 1.3867,                 1.3749,                 1.2989,                0.64411,                0.46164,                0.50676,                0.32153,                 1.4093,                 1.3656,                 1.3181,             0.00075152,             0.00075152,             0.00075152
                     24,                 1.3681,                 1.3541,                 1.2885,                0.61486,                0.46645,                0.51112,                0.32375,                 1.4177,                 1.3731,                 1.3221,             0.00074402,             0.00074402,             0.00074402
                     25,                  1.366,                 1.3461,                 1.2929,                0.59294,                 0.4812,                0.51541,                0.32795,                 1.4228,                 1.3462,                 1.3211,             0.00073652,             0.00073652,             0.00073652
