N.O.,Image Label,Result,Position,Confidence Level,Track ID
0,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"402,271,434,296",0.85,0
1,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"173,264,251,296",0.79,1
2,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,bicycle,"118,286,186,329",0.78,2
3,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"550,276,613,329",0.73,3
4,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"152,262,173,312",0.73,4
5,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"513,267,567,358",0.70,5
6,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"288,270,357,293",0.65,6
7,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"434,260,528,303",0.62,7
8,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"402,271,434,296",0.85,8
9,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"173,264,251,296",0.79,9
10,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,bicycle,"118,286,186,329",0.78,10
11,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"550,276,613,329",0.74,11
12,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"152,262,173,312",0.73,12
13,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"513,267,567,358",0.69,13
14,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"288,270,357,293",0.66,14
15,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"434,260,528,303",0.62,15
16,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"170,264,251,297",0.83,16
17,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,bicycle,"111,285,179,328",0.88,17
18,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"545,275,609,329",0.74,18
19,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"144,261,166,314",0.82,19
20,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,people,"507,267,562,359",0.71,20
21,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"292,269,363,293",0.79,21
22,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"425,260,520,303",0.63,22
23,E:/Python_Projects/YOLO_Bytetrack/test_media/JapanStreet.mp4,car,"170,263,252,297",0.80,23
